nombre_pais,region,PBI_INICIAL,PBI_ULTIMO,POB_INICIAL,POB_ULTIMO,variacion_pbi,variacion_pobreza
American Samoa,Asia Oriental y el Pacífico,-1.6793893129770936,1.7350157728706534,NA,NA,-2.033123028391165,NA
Antigua y Barbuda,América Latina y el Caribe,4.120367543806097,3.6563876595697735,NA,NA,-0.11260643117476175,NA
Argentina,América Latina y el Caribe,-2.0803278437781074,-1.342930721577389,1.3,1,-0.3544619779070606,-0.230769230769231
Aruba,América Latina y el Caribe,1.2343353736342664,6.8107766932454155,NA,NA,4.5177683786152665,NA
Australia,Asia Oriental y el Pacífico,2.755640655298677,1.3734077336597466,2.1,NA,-0.5016012951402452,2.1
Bahamas (Las),América Latina y el Caribe,-1.1565081126962866,3.378665533361655,NA,NA,-3.9214369499619193,NA
Barbados,América Latina y el Caribe,1.4965062252057635,2.482262139618598,0.7,NA,0.6587048538854539,0.7
Belice,América Latina y el Caribe,-0.01874149581303186,3.5046643502389543,2.7,NA,-188.00024721623302,2.7
Bolivia (Estado Plurinacional de),América Latina y el Caribe,4.263920863820971,-1.1233559551721157,12.7,4.3,-1.2634560985180803,-0.661417322834646
Brasil,América Latina y el Caribe,-3.2759169063211004,3.4193151659773946,7.3,3.4,-2.043773472819044,-0.534246575342466
British Virgin Islands,América Latina y el Caribe,NA,NA,NA,NA,NA,NA
Brunei Darussalam,Asia Oriental y el Pacífico,-2.477917718332236,4.052517093067266,NA,NA,-2.63545264763465,NA
Camboya,Asia Oriental y el Pacífico,7.905501161307043,5.97510939607335,NA,NA,-0.2441833510419136,NA
Cayman Islands,América Latina y el Caribe,3.2399736144856917,5.815591826308804,NA,NA,0.7949503663572155,NA
Chile,América Latina y el Caribe,1.7530387490709956,2.644311548715379,0.6,0.4,0.508415915002851,-0.333333333333333
China,Asia Oriental y el Pacífico,6.775555628370171,4.9773565917572,NA,NA,-0.26539506650696915,NA
Colombia,América Latina y el Caribe,2.0873825016279426,1.5983315366522959,10.6,8.8,-0.23428909871297546,-0.169811320754717
Costa Rica,América Latina y el Caribe,4.204323251758993,4.321224296461452,2.7,0.8,0.02780496115600775,-0.703703703703704
Cuba,América Latina y el Caribe,0.5128430957007453,-1.0617327322052432,NA,NA,-3.070287659336622,NA
Curacao,América Latina y el Caribe,-1.0677076995746404,5.02690000000014,NA,NA,-5.7081237702067575,NA
Dominica,América Latina y el Caribe,1.4472455648926257,2.052738472526002,NA,NA,0.418376067145384,NA
Ecuador,América Latina y el Caribe,-0.6879542458779468,-2.001254763410259,5.8,5.9,1.9089939852850486,0.0172413793103449
El Salvador,América Latina y el Caribe,2.5390624113586426,2.602020161210689,9.2,6.2,0.024795668499679655,-0.326086956521739
Fiji,Asia Oriental y el Pacífico,2.4456517966424514,3.530858960763524,NA,NA,0.44372922000217496,NA
Filipinas,Asia Oriental y el Pacífico,7.149456750007516,5.6920161282341155,9.3,6.2,-0.20385333777589026,-0.333333333333333
French Polynesia,Asia Oriental y el Pacífico,2.3021982367043847,1.1263889773024687,NA,NA,-0.5107332811987105,NA
Granada,América Latina y el Caribe,3.7396039558691,3.963325163981878,1.1,NA,0.05982483994372184,1.1
Guam,Asia Oriental y el Pacífico,0.18198362147406044,5.099864262167927,NA,NA,27.02375412061382,NA
Guatemala,América Latina y el Caribe,2.6778027762331362,3.651863828948194,NA,13.7,0.36375384377085046,13.7
Guyana,América Latina y el Caribe,3.80745626378814,43.819310802435524,NA,NA,10.508815273649006,NA
Haití,América Latina y el Caribe,1.8124680784753195,-4.16963395808132,NA,NA,-3.300528217627364,NA
Honduras,América Latina y el Caribe,3.892972197264129,3.5539700329666886,22.8,18.4,-0.0870805510852817,-0.192982456140351
"Hong Kong SAR, China",Asia Oriental y el Pacífico,2.1754288650299713,2.5049875846682568,NA,NA,0.15149137944059826,NA
Indonesia,Asia Oriental y el Pacífico,5.033069182801768,5.030344694190376,19,4.3,-5.413175365643029e-4,-0.773684210526316
Islas Marshall,Asia Oriental y el Pacífico,2.5040827436037034,2.5019271785287316,NA,NA,-8.608202266789681e-4,NA
Islas Salomón,Asia Oriental y el Pacífico,5.554943482579915,2.997559876041038,NA,NA,-0.4603797706599054,NA
Jamaica,América Latina y el Caribe,2.760437613695572,-0.5350390638674867,0.6,1.6,-1.1938240013876626,1.66666666666667
Japón,Asia Oriental y el Pacífico,0.7538267457891266,0.10430902177330381,0.8,NA,-0.8616273270271005,0.8
Kiribati,Asia Oriental y el Pacífico,7.088029600504271,5.266897479170993,NA,1.6,-0.25693065971447343,1.6
"Macao SAR, China",Asia Oriental y el Pacífico,-0.7015102125529609,7.849602070105249,NA,NA,-12.189576330669084,NA
Malasia,Asia Oriental y el Pacífico,4.449781397615411,5.1054592102404115,0.1,0.3,0.14735056714839329,2
Micronesia (Estados Federados de),Asia Oriental y el Pacífico,0.9427264618313274,0.7189901773440255,NA,NA,-0.23732895335585985,NA
Mongolia,Asia Oriental y el Pacífico,1.4897844867957701,5.122045391226607,2.7,1.3,2.4381116440829014,-0.518518518518518
Myanmar,Asia Oriental y el Pacífico,5.86247291518572,-0.9720464136336204,16.2,NA,-1.165808256634449,16.2
México,América Latina y el Caribe,1.7724932384539898,1.427427690804663,5,1.9,-0.19467806148039302,-0.62
Nauru,Asia Oriental y el Pacífico,4.132231404959086,1.388888888889042,NA,NA,-0.663888888888885,NA
New Caledonia,Asia Oriental y el Pacífico,0.4000000000000057,-13.499999999999972,NA,NA,-34.74999999999945,NA
Nicaragua,América Latina y el Caribe,4.563147395249672,3.5878302292344983,NA,NA,-0.21373781768051112,NA
Northern Mariana Islands,Asia Oriental y el Pacífico,29.212121212121218,16.64275466284076,NA,NA,-0.43027914535918577,NA
Nueva Zelandia,Asia Oriental y el Pacífico,3.779110683543337,1.2886200471168507,NA,NA,-0.65901500246385325,NA
Palau,Asia Oriental y el Pacífico,1.3268554663070802,2.215998001704847,NA,NA,0.6701125766715487,NA
Panamá,América Latina y el Caribe,4.571966963079689,2.7478854554691594,NA,4.3,-0.39897084172756647,4.3
Papua Nueva Guinea,Asia Oriental y el Pacífico,5.4895731527818725,3.799795600868876,NA,NA,-0.30781583647477073,NA
Paraguay,América Latina y el Caribe,4.268025833143582,4.249960104640721,5.4,2.3,-0.00423280673761888,-0.574074074074074
Perú,América Latina y el Caribe,3.953318715207672,3.303940981715158,9.1,6.9,-0.1642614168684352,-0.241758241758242
República Democrática Popular Lao,Asia Oriental y el Pacífico,7.022836255011384,4.130192644369373,18.5,10.3,-0.411891080128469,-0.443243243243243
República Dominicana,América Latina y el Caribe,6.719740786812949,4.953522044928491,4.5,1.6,-0.262840308565257,-0.644444444444444
República Popular Democrática de Corea,Asia Oriental y el Pacífico,NA,NA,NA,NA,NA,NA
República de Corea,Asia Oriental y el Pacífico,3.171527489839349,2.0036110183898614,0.2,0.1,-0.36825046454465615,-0.5
Saint Kitts y Nevis,América Latina y el Caribe,3.9327031927328164,0.3122268558581709,NA,NA,-0.9206075718007068,NA
Samoa,Asia Oriental y el Pacífico,7.9838628784712995,4.748384455647141,NA,NA,-0.4052522534610048,NA
San Vicente y las Granadinas,América Latina y el Caribe,4.149681004698095,4.061834900502092,NA,NA,-0.021169363162264282,NA
Santa Lucía,América Latina y el Caribe,3.4278721452521097,3.8917502421889765,NA,NA,0.1353253789174654,NA
Singapur,Asia Oriental y el Pacífico,3.7475784879279246,4.388023624618654,NA,NA,0.17089572339946865,NA
Sint Maarten (Dutch part),América Latina y el Caribe,0.9677583630688105,3.000000000000142,NA,NA,2.0999473778629936,NA
St. Martin (French part),América Latina y el Caribe,5,4.899999671335337,NA,NA,-0.020000065732932625,NA
Suriname,América Latina y el Caribe,-4.911660509058507,1.7209573701173895,NA,3,-1.3503819873021459,3
Tailandia,Asia Oriental y el Pacífico,3.4351577169218217,2.541820677352888,0.3,0.1,-0.26005706671582923,-0.666666666666667
Timor-Leste,Asia Oriental y el Pacífico,3.0099335809327386,-9.100693697727351,NA,NA,-4.023552996444249,NA
Tonga,Asia Oriental y el Pacífico,6.598704361183437,2.7901436686266834,NA,0.4,-0.5771679536001688,0.4
Trinidad y Tabago,América Latina y el Caribe,-7.536363053793721,2.509208139795689,NA,NA,-1.3329468235387867,NA
Turks and Caicos Islands,América Latina y el Caribe,7.251186275702651,5.636825174433625,NA,NA,-0.22263406839766942,NA
Tuvalu,Asia Oriental y el Pacífico,5.660377358490564,3.852809195170323,NA,NA,-0.319337042186576,NA
Uruguay,América Latina y el Caribe,1.689798229717752,3.1082547806617242,0.2,0.2,0.8394236222989165,0
Vanuatu,Asia Oriental y el Pacífico,3.471544715447152,0.9421853622759073,NA,NA,-0.7285976591102186,NA
Venezuela (República Bolivariana de),América Latina y el Caribe,-17.040334599654784,5.299999999999841,NA,NA,-1.3110267564879396,NA
Viet Nam,Asia Oriental y el Pacífico,6.690008926604236,7.091187466339747,3.5,1.9,0.059966816806497805,-0.457142857142857
Virgin Islands (U.S.),América Latina y el Caribe,1.6008537886873029,-1.3112320633349839,NA,NA,-1.8190829622299185,NA
